Company Name,Industry,Symbol,Series,ISIN Code
D.B.Corp Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,DBCORP,EQ,INE950I01011
NIFTY 50,INDEX,^NSEI,EQ,INE000001
NIFTY BANK,INDEX,^NSEBANK,EQ,INE000002
NIFTY IT,INDEX,^CNXIT,EQ,INE000003
