Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,6140.0,6259.39990234375,6140.0,6179.64990234375,6047.2041015625,4816
2018-05-02,6170.0,6231.89990234375,6140.0,6153.9501953125,6022.0546875,4625
2018-05-03,6061.0,6490.0,6061.0,6293.14990234375,6158.271484375,27064
2018-05-04,6339.89990234375,6400.0,6235.35009765625,6269.64990234375,6135.2744140625,4570
2018-05-07,6270.0,6315.0,6241.0,6272.89990234375,6138.4560546875,3937
2018-05-08,6344.0,6344.0,6230.0,6284.60009765625,6149.90478515625,1295
2018-05-09,6250.10009765625,6350.0,6227.60009765625,6299.7001953125,6164.68115234375,13919
2018-05-10,6338.9501953125,6384.0,6200.0,6254.10009765625,6120.05859375,8278
2018-05-11,6175.10009765625,6379.0,6175.10009765625,6341.2001953125,6205.2919921875,8898
2018-05-14,6383.9501953125,6564.0,6350.0,6533.2001953125,6393.1767578125,7334
2018-05-15,6468.0,7338.0,6399.0,6599.85009765625,6458.3984375,67966
2018-05-16,6665.85009765625,6900.25,6654.4501953125,6792.39990234375,6646.8212890625,15963
2018-05-17,6790.0,6890.0,6701.0,6752.64990234375,6607.92236328125,8941
2018-05-18,6813.4501953125,6839.0498046875,6650.0,6727.85009765625,6583.654296875,3959
2018-05-21,6847.0,6847.0,6555.25,6606.60009765625,6465.0029296875,5243
2018-05-22,6659.0,6659.0,6521.0,6563.60009765625,6422.9248046875,1321
2018-05-23,6560.0,6674.85009765625,6510.0,6587.4501953125,6446.26416015625,3283
2018-05-24,6587.0,6756.0,6523.39990234375,6671.7001953125,6528.70751953125,11235
2018-05-25,6671.0,6737.0,6580.0498046875,6598.85009765625,6457.41943359375,8692
2018-05-28,6650.0,6796.0,6600.0498046875,6773.64990234375,6628.4736328125,8071
2018-05-29,6740.0,6767.0,6655.0498046875,6686.10009765625,6542.79931640625,2143
2018-05-30,6763.89990234375,6763.89990234375,6650.0,6736.85009765625,6592.46240234375,8971
2018-05-31,6760.0,6810.0,6651.0,6674.35009765625,6531.30126953125,5992
2018-06-01,6749.0,6749.0,6490.0,6664.2001953125,6521.369140625,13176
2018-06-04,6729.0,6799.0,6500.0,6521.7001953125,6381.92333984375,2563
2018-06-05,6521.7001953125,6598.60009765625,6330.0498046875,6357.25,6220.99755859375,2717
2018-06-06,6357.0,6485.85009765625,6238.14990234375,6441.5,6303.44189453125,4320
2018-06-07,6370.60009765625,6449.0,6349.9501953125,6394.35009765625,6257.302734375,2378
2018-06-08,6420.0,6420.0,6322.0,6365.39990234375,6228.97265625,58340
2018-06-11,6420.0,6420.0,6326.9501953125,6351.0,6214.88134765625,10523
2018-06-12,6415.0,6415.0,6320.0,6360.10009765625,6223.787109375,3005
2018-06-13,6379.9501953125,6400.0,6322.0,6340.10009765625,6204.2158203125,4170
2018-06-14,6342.0,6485.0,6342.0,6452.64990234375,6314.35302734375,2863
2018-06-15,6514.5,6550.0,6426.0,6519.64990234375,6379.9169921875,5227
2018-06-18,6525.0,6760.0498046875,6472.0498046875,6707.5,6563.74072265625,4793
2018-06-19,6730.0,6974.39990234375,6666.25,6943.0,6794.19287109375,10227
2018-06-20,6974.9501953125,7293.0,6952.0498046875,7178.0498046875,7024.20654296875,19960
2018-06-21,7178.0498046875,7359.0,7178.0498046875,7303.2001953125,7146.67333984375,9237
2018-06-22,7300.0,7448.0,7275.9501953125,7423.2998046875,7264.19921875,6583
2018-06-25,7451.0,7760.0,7451.0,7643.25,7479.43603515625,24283
2018-06-26,7680.0,7850.0,7450.0,7477.14990234375,7316.89501953125,12496
2018-06-27,7490.0,7537.0,7106.0,7174.0,7020.24169921875,9112
2018-06-28,7180.0,7379.0,7020.5,7305.89990234375,7149.3154296875,13024
2018-06-29,7400.0,7470.0,7135.0,7238.2001953125,7083.06640625,7985
2018-07-02,7239.0,7296.14990234375,7140.0,7156.64990234375,7003.2646484375,2715
2018-07-03,7135.0,7198.9501953125,7037.0498046875,7091.60009765625,6939.60888671875,3270
2018-07-04,7147.75,7190.0,7104.7998046875,7146.85009765625,6993.67431640625,8039
2018-07-05,7169.9501953125,7189.0,7136.10009765625,7169.2998046875,7015.64306640625,2425
2018-07-06,7223.9501953125,7223.9501953125,7135.0,7172.4501953125,7018.72607421875,6671
2018-07-09,7280.0,7280.0,7140.0498046875,7152.0,6998.7138671875,13036
2018-07-10,7171.9501953125,7171.9501953125,7065.10009765625,7090.89990234375,6943.77783203125,10200
2018-07-11,7090.0,7150.0,7030.0,7046.39990234375,6905.0703125,4949
2018-07-12,7050.0,7225.0,7005.0498046875,7131.9501953125,6988.90478515625,4163
2018-07-13,7130.0,7197.64990234375,7090.0498046875,7100.2998046875,6957.88916015625,7461
2018-07-16,7153.7998046875,7154.2001953125,7030.0498046875,7101.0498046875,6958.6240234375,2572
2018-07-17,7149.0,7149.0,7031.0498046875,7058.25,6916.6826171875,3466
2018-07-18,7121.4501953125,7347.9501953125,7030.0498046875,7209.2998046875,7064.70263671875,7607
2018-07-19,7209.2998046875,7316.0,7100.0,7266.2001953125,7120.46240234375,4472
2018-07-20,7286.0,7348.75,7193.60009765625,7311.9501953125,7165.29443359375,3185
2018-07-23,7350.0,7757.2998046875,7350.0,7487.0,7336.83349609375,23515
2018-07-24,7487.0,7550.0,7260.0,7303.0498046875,7156.57275390625,8918
2018-07-25,7325.0,7414.0,7250.0,7374.64990234375,7226.736328125,4984
2018-07-26,7374.0,7698.0,7305.0,7638.2998046875,7485.09814453125,7908
2018-07-27,7638.0,7729.89990234375,7518.0,7612.5498046875,7459.865234375,16184
2018-07-30,7551.0,7723.9501953125,7450.0,7686.25,7532.0869140625,5342
2018-07-31,7601.0,7830.0,7601.0,7666.7998046875,7513.02685546875,6579
2018-08-01,7666.7998046875,7815.0,7615.0498046875,7666.5498046875,7512.78125,3826
2018-08-02,7699.89990234375,7950.10009765625,7667.0,7922.89990234375,7763.990234375,8746
2018-08-03,7999.9501953125,8198.0,7942.0498046875,8071.0,7909.119140625,20740
2018-08-06,8100.0,8200.0,8019.7001953125,8116.25,7953.4619140625,5411
2018-08-07,8117.0,8125.25,7950.0,8037.75,7876.5361328125,5126
2018-08-08,8037.75,8100.14990234375,8010.0,8042.35009765625,7881.04443359375,4019
2018-08-09,8000.0,8088.0,7825.10009765625,7919.2998046875,7760.46240234375,8591
2018-08-10,7920.0,8014.75,7810.0498046875,7996.5498046875,7836.1630859375,5212
2018-08-13,8149.89990234375,8149.89990234375,7850.0,7891.5,7733.22021484375,11125
2018-08-14,7825.5,7888.0,7600.0,7634.89990234375,7481.7666015625,17110
2018-08-16,7560.0,7718.5,7506.0,7547.7998046875,7396.41357421875,19528
2018-08-17,7550.0,7798.0,7549.0,7764.75,7609.01220703125,4807
2018-08-20,7789.0,7944.0,7715.0498046875,7909.5,7750.85888671875,6255
2018-08-21,7909.0,8000.0,7766.2001953125,7796.4501953125,7640.07666015625,7621
2018-08-23,7850.0,7858.85009765625,7600.0,7656.39990234375,7502.83544921875,8274
2018-08-24,7650.0,7740.0,7514.0,7599.0498046875,7446.6357421875,16270
2018-08-27,7677.7998046875,7955.0,7613.0498046875,7885.85009765625,7727.68359375,19898
2018-08-28,7963.2998046875,8058.14990234375,7900.0,7962.5,7802.79638671875,45443
2018-08-29,7920.0,8014.9501953125,7803.0,7854.2001953125,7696.66796875,11094
2018-08-30,7854.0,8009.0,7854.0,7956.89990234375,7797.30810546875,19415
2018-08-31,8012.0,8699.0,7981.0,8330.75,8163.66015625,54263
2018-09-03,8399.0,8684.0,8331.0498046875,8387.75,8219.5166015625,40370
2018-09-04,8386.5,8444.0,8061.0,8334.7998046875,8167.62939453125,11246
2018-09-05,8331.0,8398.0,8161.25,8299.4501953125,8132.98779296875,15728
2018-09-06,8298.0,8540.099609375,8162.2998046875,8490.849609375,8320.548828125,12700
2018-09-07,8490.0,8586.400390625,8312.150390625,8424.150390625,8255.1875,12497
2018-09-10,8424.0,8820.0498046875,8418.349609375,8593.349609375,8420.9921875,24752
2018-09-11,8670.0,8729.099609375,8370.0,8428.2998046875,8259.2529296875,9988
2018-09-12,8360.0,8500.0,8163.0498046875,8449.4501953125,8279.9794921875,12706
2018-09-14,8502.0,8509.900390625,8352.0,8388.099609375,8219.8583984375,8500
2018-09-17,8280.150390625,8483.9501953125,8280.150390625,8441.75,8272.43359375,4526
2018-09-18,8439.9501953125,8480.0,8350.0,8444.5498046875,8275.177734375,4432
2018-09-19,8459.9501953125,8487.9501953125,8300.0,8379.4501953125,8211.3837890625,4144
2018-09-21,8400.0,8400.0,7611.0,8240.5,8075.22021484375,18632
2018-09-24,8200.2001953125,8225.0498046875,7810.0,8136.7001953125,7973.501953125,13866
2018-09-25,8100.0,8150.0498046875,8055.14990234375,8102.75,7940.232421875,10356
2018-09-26,8168.0,8200.0,7864.4501953125,7934.9501953125,7775.798828125,7160
2018-09-27,7900.0,7920.0,7720.0,7808.2998046875,7651.68798828125,9584
2018-09-28,7808.0,7836.0,7626.0,7773.5498046875,7617.6357421875,14459
2018-10-01,7780.10009765625,7879.89990234375,7600.0498046875,7640.85009765625,7487.59765625,9645
2018-10-03,7700.0,7739.25,7550.0,7592.5498046875,7440.26611328125,3217
2018-10-04,7535.14990234375,7535.14990234375,7200.0,7330.9501953125,7183.91357421875,9050
2018-10-05,7305.0,7376.0,7206.14990234375,7317.4501953125,7170.6845703125,7647
2018-10-08,7317.0,7347.5,7112.5,7249.7998046875,7104.39013671875,8308
2018-10-09,7254.0,7290.0498046875,7125.0,7162.39990234375,7018.7431640625,4461
2018-10-10,7182.89990234375,7340.0,7182.89990234375,7325.2001953125,7178.27880859375,5972
2018-10-11,7288.0,7300.0,7101.2001953125,7231.7001953125,7086.65380859375,6483
2018-10-12,7440.0,7570.0,7280.2998046875,7485.2001953125,7335.0693359375,7067
2018-10-15,7598.5,7598.5,7399.9501953125,7429.60009765625,7280.58447265625,4471
2018-10-16,7496.9501953125,7499.7998046875,7385.60009765625,7408.75,7260.15283203125,5933
2018-10-17,7488.7998046875,7488.7998046875,7200.0,7293.85009765625,7147.55712890625,3226
2018-10-19,7193.9501953125,7394.0,7193.9501953125,7224.9501953125,7080.03955078125,3531
2018-10-22,7225.2001953125,7232.75,7175.5,7184.9501953125,7040.841796875,1281
2018-10-23,7200.25,7249.0498046875,7036.5498046875,7069.2001953125,6927.4130859375,2469
2018-10-24,7090.0,7151.4501953125,6900.0,7067.39990234375,6925.64892578125,3700
2018-10-25,7065.0498046875,7108.0,6917.0,7039.85009765625,6898.65185546875,1866
2018-10-26,7007.2998046875,7030.0,6900.0,6917.89990234375,6779.14697265625,4304
2018-10-29,6950.0498046875,7214.5,6930.0498046875,7110.0498046875,6967.44384765625,2752
2018-10-30,7141.35009765625,7226.2998046875,7010.60009765625,7141.7001953125,6998.458984375,1857
2018-10-31,7150.0498046875,7690.0,7100.0,7568.7001953125,7416.89453125,6043
2018-11-01,7574.2001953125,7749.0,7548.7998046875,7592.64990234375,7440.36376953125,4823
2018-11-02,7592.64990234375,7988.0,7496.0,7609.2998046875,7456.68017578125,4862
2018-11-05,7600.0,7700.0,7533.14990234375,7600.7998046875,7448.35009765625,2663
2018-11-06,7552.0,7659.0,7501.0,7532.39990234375,7381.322265625,856
2018-11-07,7624.14990234375,7639.9501953125,7499.9501953125,7537.14990234375,7385.97705078125,1828
2018-11-09,7600.0,7600.0,7470.0,7524.10009765625,7373.18896484375,5212
2018-11-12,7524.0498046875,7577.4501953125,7450.0,7469.14990234375,7319.3408203125,1338
2018-11-13,7469.0,7560.0,7469.0,7517.7998046875,7367.015625,1722
2018-11-14,7560.0,7617.0,7392.0,7601.39990234375,7448.9384765625,9966
2018-11-15,7574.0498046875,7650.0,7516.0498046875,7606.89990234375,7454.328125,7324
2018-11-16,7600.0498046875,7650.0,7521.2001953125,7631.7001953125,7478.630859375,6334
2018-11-19,7667.9501953125,7700.0,7551.25,7630.5498046875,7477.50390625,1610
2018-11-20,7600.0,7691.0,7516.0498046875,7619.7001953125,7466.8720703125,3118
2018-11-21,7599.9501953125,7600.0,7526.25,7542.7998046875,7391.51318359375,2540
2018-11-22,7579.9501953125,7585.0,7270.2001953125,7362.75,7215.0751953125,4344
2018-11-26,7383.60009765625,7401.75,7245.25,7269.5,7123.6953125,4632
2018-11-27,7270.0,7270.0,7161.0,7189.0498046875,7044.8583984375,2838
2018-11-28,7250.0,7250.0,7111.2001953125,7190.25,7046.03466796875,5461
2018-11-29,7262.14990234375,7379.0,7198.14990234375,7365.4501953125,7217.72119140625,3257
2018-11-30,7380.10009765625,7473.0,7305.14990234375,7420.14990234375,7271.32373046875,2451
2018-12-03,7453.9501953125,7839.7001953125,7355.0,7775.5498046875,7619.595703125,8024
2018-12-04,7800.0,7899.7998046875,7634.85009765625,7752.39990234375,7596.91015625,6034
2018-12-05,7753.0,7755.0498046875,7575.75,7656.9501953125,7503.37451171875,3007
2018-12-06,7665.4501953125,7685.0,7485.0,7504.0498046875,7353.54052734375,1530
2018-12-07,7594.89990234375,7594.89990234375,7417.0,7495.2001953125,7344.86865234375,1192
2018-12-10,7420.25,7469.85009765625,7271.0,7394.5,7246.1884765625,2720
2018-12-11,7325.0,7693.10009765625,7312.14990234375,7331.35009765625,7184.30517578125,4355
2018-12-12,7349.39990234375,7540.0,7349.39990234375,7503.7998046875,7353.29638671875,2957
2018-12-13,7505.0,7624.9501953125,7476.0498046875,7508.0,7357.41162109375,1727
2018-12-14,7508.0498046875,7588.9501953125,7476.0498046875,7556.0,7404.44921875,1369
2018-12-17,7600.0,7610.0,7535.0,7580.89990234375,7428.849609375,12640
2018-12-18,7648.7998046875,7650.0498046875,7490.0,7504.5,7353.98193359375,1470
2018-12-19,7520.0,7575.0,7450.0,7503.75,7353.2470703125,2723
2018-12-20,7500.0498046875,7521.85009765625,7425.0,7450.5498046875,7301.11376953125,2869
2018-12-21,7450.14990234375,7495.0,7385.4501953125,7410.0,7261.3779296875,2398
2018-12-24,7498.0,7498.0,7400.10009765625,7466.25,7316.4990234375,3768
2018-12-26,7509.0,7509.0,7386.0,7498.2998046875,7347.90576171875,1872
2018-12-27,7507.0,7545.14990234375,7460.0,7469.5,7319.68408203125,1743
2018-12-28,7540.0,7540.0,7434.0,7470.9501953125,7321.10546875,1647
2018-12-31,7540.0,7580.14990234375,7472.5498046875,7516.64990234375,7365.888671875,2140
2019-01-01,7550.0,7598.0,7455.14990234375,7580.0498046875,7428.0166015625,968
2019-01-02,7580.0,7580.0,7506.0,7527.0498046875,7376.07958984375,1013
2019-01-03,7520.2998046875,7574.0,7430.0,7471.9501953125,7322.08544921875,1739
2019-01-04,7510.0,7546.64990234375,7485.10009765625,7504.5,7353.98193359375,2325
2019-01-07,7520.10009765625,7575.0,7520.10009765625,7574.2001953125,7422.2841796875,2894
2019-01-08,7575.0,7798.0,7524.2001953125,7752.0498046875,7596.56689453125,6740
2019-01-09,7761.0,8148.0,7761.0,8004.7998046875,7844.2470703125,18663
2019-01-10,8011.0,8200.0,8011.0,8113.64990234375,7950.91455078125,6160
2019-01-11,8113.64990234375,8175.85009765625,8040.9501953125,8083.4501953125,7921.3203125,6203
2019-01-14,8083.4501953125,8100.64990234375,7939.2001953125,8027.10009765625,7866.10009765625,1596
2019-01-15,8025.0,8144.7001953125,8025.0,8111.64990234375,7948.95458984375,2973
2019-01-16,8168.0,8168.0,8050.0,8092.0498046875,7929.74755859375,2028
2019-01-17,8077.0,8170.0,8075.0,8138.39990234375,7975.16748046875,945
2019-01-18,8177.89990234375,8177.89990234375,8060.75,8098.35009765625,7935.92138671875,965
2019-01-21,8122.4501953125,8250.0,8086.0,8212.900390625,8048.17431640625,3174
2019-01-22,8203.0498046875,8241.650390625,8160.60009765625,8212.400390625,8047.68408203125,1183
2019-01-23,8265.0,8265.0,8164.2998046875,8199.9501953125,8035.48388671875,1965
2019-01-24,8205.0498046875,8255.0,8165.2001953125,8242.599609375,8077.2783203125,1897
2019-01-25,8249.9501953125,8273.5,8200.0,8205.2998046875,8040.7255859375,2332
2019-01-28,8250.0,8250.0,7950.0,8076.2998046875,7914.3134765625,3864
2019-01-29,8059.89990234375,8169.7998046875,7999.0,8048.0,7886.5810546875,2772
2019-01-30,8079.9501953125,8080.89990234375,8010.2998046875,8042.25,7880.9462890625,2067
2019-01-31,8042.25,8094.9501953125,8012.10009765625,8070.10009765625,7908.23779296875,2640
2019-02-01,8120.0,8193.150390625,8035.2998046875,8098.89990234375,7936.4599609375,2057
2019-02-04,8070.0,8174.7998046875,7971.39990234375,7993.89990234375,7833.56591796875,4290
2019-02-05,7980.0,8130.0498046875,7963.89990234375,8098.0,7935.578125,2492
2019-02-06,8098.0,8139.9501953125,8053.10009765625,8119.7001953125,7956.84326171875,46062
